row_no,name,trade,qty,rate,amount,advance,total,_source_file,_folder,_project,deductions,net
8,Zahid Butt,Plumber,,1100.0,22000.0,0.0,22000.0,labour_wages\SATTI_APTS_Labour_Dec2017.xlsx,labour_wages,SATTI_APTS,,
9,Sajid Butt,Carpenter,22,1000.0,22000.0,6600.0,,labour_wages\SATTI_APTS_Labour_Dec2017.xlsx,labour_wages,SATTI_APTS,,
10,Muhammad Ali,Carpenter,27,1000.0,27000.0,0.0,,labour_wages\SATTI_APTS_Labour_Dec2017.xlsx,labour_wages,SATTI_APTS,,
11,Asif Chaudhry,Mason,19,900.0,17100.0,0.0,17100.0,labour_wages\SATTI_APTS_Labour_Dec2017.xlsx,labour_wages,SATTI_APTS,,
12,Ahmad Raza,Electrician,27,1200.0,32400.0,0.0,32400.0,labour_wages\SATTI_APTS_Labour_Dec2017.xlsx,labour_wages,SATTI_APTS,,
13,Javed Ali,Plumber,16,1100.0,17600.0,8800.0,8800.0,labour_wages\SATTI_APTS_Labour_Dec2017.xlsx,labour_wages,SATTI_APTS,,
14,Arif Qureshi,Site Engineer,22,2500.0,55000.0,16500.0,38500.0,labour_wages\SATTI_APTS_Labour_Dec2017.xlsx,labour_wages,SATTI_APTS,,
15,Sajid Qureshi,Carpenter,,1000.0,22000.0,6600.0,15400.0,labour_wages\SATTI_APTS_Labour_Dec2017.xlsx,labour_wages,SATTI_APTS,,
16,Sajid Malik,Helper,23,600.0,13800.0,4140.0,9660.0,labour_wages\SATTI_APTS_Labour_Dec2017.xlsx,labour_wages,SATTI_APTS,,
17,Farooq Butt,Supervisor,27,1800.0,48600.0,24300.0,24300.0,labour_wages\SATTI_APTS_Labour_Dec2017.xlsx,labour_wages,SATTI_APTS,,
,,,,,,,,labour_wages\SATTI_APTS_Labour_Dec2017.xlsx,labour_wages,SATTI_APTS,,
18,Bilal Raza,Carpenter,21,1000.0,21000.0,6300.0,14700.0,labour_wages\SATTI_APTS_Labour_Dec2017.xlsx,labour_wages,SATTI_APTS,,
,,,,,,,,labour_wages\SATTI_APTS_Labour_Dec2017.xlsx,labour_wages,SATTI_APTS,,
19,Asif Ali,Carpenter,19,1000.0,19000.0,0.0,19000.0,labour_wages\SATTI_APTS_Labour_Dec2017.xlsx,labour_wages,SATTI_APTS,,
20,Sajid Mirza,Site Engineer,21,2500.0,52500.0,0.0,,labour_wages\SATTI_APTS_Labour_Dec2017.xlsx,labour_wages,SATTI_APTS,,
21,Asif Khan,Helper,16,600.0,9600.0,4800.0,4800.0,labour_wages\SATTI_APTS_Labour_Dec2017.xlsx,labour_wages,SATTI_APTS,,
22,Farooq Ansari,Supervisor,19,1800.0,34200.0,17100.0,17100.0,labour_wages\SATTI_APTS_Labour_Dec2017.xlsx,labour_wages,SATTI_APTS,,
23,Usman Mirza,Mason,24,900.0,21600.0,10800.0,10800.0,labour_wages\SATTI_APTS_Labour_Dec2017.xlsx,labour_wages,SATTI_APTS,,
24,Arif Raza,Carpenter,16,,16000.0,0.0,16000.0,labour_wages\SATTI_APTS_Labour_Dec2017.xlsx,labour_wages,SATTI_APTS,,
,,,,,,,,labour_wages\SATTI_APTS_Labour_Dec2017.xlsx,labour_wages,SATTI_APTS,,
25,Ahmad Butt,Plumber,TBD,1100.0,22000.0,11000.0,11000.0,labour_wages\SATTI_APTS_Labour_Dec2017.xlsx,labour_wages,SATTI_APTS,,
,,,,,,,,labour_wages\SATTI_APTS_Labour_Dec2017.xlsx,labour_wages,SATTI_APTS,,
Prepared by:,,,Checked by:,,,,,labour_wages\SATTI_APTS_Labour_Dec2017.xlsx,labour_wages,SATTI_APTS,,
Month: June 2015,,,,,,,,labour_wages\SATTI_APTS_Labour_Jun2015.xlsx,labour_wages,SATTI_APTS,,
1,Asif Butt,Helper,14,600.0,8400.0,0.0,8400.0,labour_wages\SATTI_APTS_Labour_Jun2015.xlsx,labour_wages,SATTI_APTS,,
2,Sajid Mirza,Supervisor,16,1800.0,28800.0,14400.0,14400.0,labour_wages\SATTI_APTS_Labour_Jun2015.xlsx,labour_wages,SATTI_APTS,,
3,Nasir Sheikh,Security Guard,24,700.0,16800.0,,16800.0,labour_wages\SATTI_APTS_Labour_Jun2015.xlsx,labour_wages,SATTI_APTS,,
4,Asif Chaudhry,Helper,25,600.0,15000.0,0.0,15000.0,labour_wages\SATTI_APTS_Labour_Jun2015.xlsx,labour_wages,SATTI_APTS,,
5,Tariq Sheikh,Supervisor,24,1800.0,43200.0,21600.0,21600.0,labour_wages\SATTI_APTS_Labour_Jun2015.xlsx,labour_wages,SATTI_APTS,,
6,Arif Butt,Security Guard,25,700.0,17500.0,0.0,17500.0,labour_wages\SATTI_APTS_Labour_Jun2015.xlsx,labour_wages,SATTI_APTS,,
,,,,,,,,labour_wages\SATTI_APTS_Labour_Jun2015.xlsx,labour_wages,SATTI_APTS,,
7,Arif Khan,Plumber,16,1100.0,17600.0,5280.0,12320.0,labour_wages\SATTI_APTS_Labour_Jun2015.xlsx,labour_wages,SATTI_APTS,,
8,Hamid Qureshi,Supervisor,17,1800.0,30600.0,9180.0,21420.0,labour_wages\SATTI_APTS_Labour_Jun2015.xlsx,labour_wages,SATTI_APTS,,
9,Kamran Butt,Carpenter,19,1000.0,19000.0,5700.0,13300.0,labour_wages\SATTI_APTS_Labour_Jun2015.xlsx,labour_wages,SATTI_APTS,,
10,Farooq Sheikh,Welder,24,1100.0,26400.0,0.0,26400.0,labour_wages\SATTI_APTS_Labour_Jun2015.xlsx,labour_wages,SATTI_APTS,,
11,Tariq Butt,Painter,18,850.0,15300.0,4590.0,10710.0,labour_wages\SATTI_APTS_Labour_Jun2015.xlsx,labour_wages,SATTI_APTS,,
12,Zahid Mirza,Plumber,16,,17600.0,0.0,17600.0,labour_wages\SATTI_APTS_Labour_Jun2015.xlsx,labour_wages,SATTI_APTS,,
13,Nasir Mirza,Mason,26,900.0,23400.0,11700.0,11700.0,labour_wages\SATTI_APTS_Labour_Jun2015.xlsx,labour_wages,SATTI_APTS,,
14,Asif Ansari,Plumber,27,1100.0,29700.0,0.0,29700.0,labour_wages\SATTI_APTS_Labour_Jun2015.xlsx,labour_wages,SATTI_APTS,,
15,Usman Malik,Welder,28,1100.0,30800.0,15400.0,15400.0,labour_wages\SATTI_APTS_Labour_Jun2015.xlsx,labour_wages,SATTI_APTS,,
,,,,,,,,labour_wages\SATTI_APTS_Labour_Jun2015.xlsx,labour_wages,SATTI_APTS,,
16,Tariq Mirza,Carpenter,17,1000.0,17000.0,8500.0,8500.0,labour_wages\SATTI_APTS_Labour_Jun2015.xlsx,labour_wages,SATTI_APTS,,
17,Farooq Chaudhry,Welder,26,1100.0,,0.0,28600.0,labour_wages\SATTI_APTS_Labour_Jun2015.xlsx,labour_wages,SATTI_APTS,,
18,Tariq Butt,Welder,15,,16500.0,8250.0,8250.0,labour_wages\SATTI_APTS_Labour_Jun2015.xlsx,labour_wages,SATTI_APTS,,
,,,,,,,,labour_wages\SATTI_APTS_Labour_Jun2015.xlsx,labour_wages,SATTI_APTS,,
19,Muhammad Mirza,Carpenter,22,1000.0,22000.0,0.0,22000.0,labour_wages\SATTI_APTS_Labour_Jun2015.xlsx,labour_wages,SATTI_APTS,,
20,Hamid Raza,Electrician,15,1200.0,18000.0,0.0,18000.0,labour_wages\SATTI_APTS_Labour_Jun2015.xlsx,labour_wages,SATTI_APTS,,
21,Usman Ansari,Electrician,28,1200.0,33600.0,10080.0,23520.0,labour_wages\SATTI_APTS_Labour_Jun2015.xlsx,labour_wages,SATTI_APTS,,
22,Kamran Chaudhry,Supervisor,27,1800.0,48600.0,14580.0,34020.0,labour_wages\SATTI_APTS_Labour_Jun2015.xlsx,labour_wages,SATTI_APTS,,
23,Tariq Mirza,Painter,20,850.0,17000.0,0.0,17000.0,labour_wages\SATTI_APTS_Labour_Jun2015.xlsx,labour_wages,SATTI_APTS,,
24,Hamid Qureshi,Carpenter,15,1000.0,15000.0,4500.0,10500.0,labour_wages\SATTI_APTS_Labour_Jun2015.xlsx,labour_wages,SATTI_APTS,,
,,,,,,,,labour_wages\SATTI_APTS_Labour_Jun2015.xlsx,labour_wages,SATTI_APTS,,
Prepared by:,,,Checked by:,,,,,labour_wages\SATTI_APTS_Labour_Jun2015.xlsx,labour_wages,SATTI_APTS,,
Month: June 2016,,,,,,,,labour_wages\SATTI_APTS_Labour_Jun2016.xlsx,labour_wages,SATTI_APTS,,
1,Sajid Ali,Painter,23,850.0,19550.0,0.0,19550.0,labour_wages\SATTI_APTS_Labour_Jun2016.xlsx,labour_wages,SATTI_APTS,,
2,Nasir Butt,Electrician,16,1200.0,19200.0,5760.0,13440.0,labour_wages\SATTI_APTS_Labour_Jun2016.xlsx,labour_wages,SATTI_APTS,,
3,Tariq Chaudhry,Helper,24,600.0,14400.0,0.0,14400.0,labour_wages\SATTI_APTS_Labour_Jun2016.xlsx,labour_wages,SATTI_APTS,,
4,Farooq Khan,Security Guard,25,700.0,,0.0,17500.0,labour_wages\SATTI_APTS_Labour_Jun2016.xlsx,labour_wages,SATTI_APTS,,
5,Hamid Sheikh,Painter,15/-,850.0,12750.0,0.0,12750.0,labour_wages\SATTI_APTS_Labour_Jun2016.xlsx,labour_wages,SATTI_APTS,,
6,Farooq Chaudhry,Painter,18,850.0,15300.0,0.0,15300.0,labour_wages\SATTI_APTS_Labour_Jun2016.xlsx,labour_wages,SATTI_APTS,,
7,Kamran Malik,Plumber,22,1100.0,24200.0,0.0,,labour_wages\SATTI_APTS_Labour_Jun2016.xlsx,labour_wages,SATTI_APTS,,
8,Javed Malik,Carpenter,21,1000.0,21000.0,6300.0,14700.0,labour_wages\SATTI_APTS_Labour_Jun2016.xlsx,labour_wages,SATTI_APTS,,
9,Ahmad Butt,Security Guard,PKR 14,700.0,9800.0,4900.0,4900.0,labour_wages\SATTI_APTS_Labour_Jun2016.xlsx,labour_wages,SATTI_APTS,,
10,Javed Qureshi,Painter,19,850.0,16150.0,8075.0,8075.0,labour_wages\SATTI_APTS_Labour_Jun2016.xlsx,labour_wages,SATTI_APTS,,
11,Nasir Chaudhry,Supervisor,18/-,1800.0,32400.0,0.0,32400.0,labour_wages\SATTI_APTS_Labour_Jun2016.xlsx,labour_wages,SATTI_APTS,,
12,Zahid Ali,Mason,26,900.0,23400.0,0.0,,labour_wages\SATTI_APTS_Labour_Jun2016.xlsx,labour_wages,SATTI_APTS,,
13,Farooq Ali,Helper,14,600.0,8400.0,0.0,8400.0,labour_wages\SATTI_APTS_Labour_Jun2016.xlsx,labour_wages,SATTI_APTS,,
14,Rizwan Sheikh,Helper,23/-,600.0,13800.0,0.0,,labour_wages\SATTI_APTS_Labour_Jun2016.xlsx,labour_wages,SATTI_APTS,,
15,Muhammad Khan,Welder,26,1100.0,28600.0,0.0,,labour_wages\SATTI_APTS_Labour_Jun2016.xlsx,labour_wages,SATTI_APTS,,
16,Javed Raza,Security Guard,25,700.0,17500.0,0.0,17500.0,labour_wages\SATTI_APTS_Labour_Jun2016.xlsx,labour_wages,SATTI_APTS,,
17,Muhammad Butt,Plumber,18,1100.0,,0.0,19800.0,labour_wages\SATTI_APTS_Labour_Jun2016.xlsx,labour_wages,SATTI_APTS,,
,,,,,,,,labour_wages\SATTI_APTS_Labour_Jun2016.xlsx,labour_wages,SATTI_APTS,,
Prepared by:,,,Checked by:,,,,,labour_wages\SATTI_APTS_Labour_Jun2016.xlsx,labour_wages,SATTI_APTS,,
Month: June 2017,,,,,,,,labour_wages\SATTI_APTS_Labour_Jun2017.xlsx,labour_wages,SATTI_APTS,,
1,Muhammad Butt,Electrician,16,1200.0,,,19200.0,labour_wages\SATTI_APTS_Labour_Jun2017.xlsx,labour_wages,SATTI_APTS,9600,"PKR 9,600"
2,Javed Sheikh,Site Engineer,15,2500.0,,,37500.0,labour_wages\SATTI_APTS_Labour_Jun2017.xlsx,labour_wages,SATTI_APTS,11250,"26,250/-"
3,Arif Sheikh,Supervisor,20,1800.0,,,36000.0,labour_wages\SATTI_APTS_Labour_Jun2017.xlsx,labour_wages,SATTI_APTS,18000,
4,Arif Chaudhry,Supervisor,24,1800.0,,,43200.0,labour_wages\SATTI_APTS_Labour_Jun2017.xlsx,labour_wages,SATTI_APTS,21600,TBD
5,Nasir Khan,Plumber,17,1100.0,,,18700.0,labour_wages\SATTI_APTS_Labour_Jun2017.xlsx,labour_wages,SATTI_APTS,0,18700
,,,,,,,,labour_wages\SATTI_APTS_Labour_Jun2017.xlsx,labour_wages,SATTI_APTS,,Sub-total
6,Nasir Malik,Security Guard,22,700.0,,,15400.0,labour_wages\SATTI_APTS_Labour_Jun2017.xlsx,labour_wages,SATTI_APTS,0,15400
7,Arif Raza,Supervisor,21/-,1800.0,,,37800.0,labour_wages\SATTI_APTS_Labour_Jun2017.xlsx,labour_wages,SATTI_APTS,0,37800
8,Asif Mirza,Electrician,27,1200.0,,,32400.0,labour_wages\SATTI_APTS_Labour_Jun2017.xlsx,labour_wages,SATTI_APTS,,32400
9,Arif Sheikh,Plumber,27,1100.0,,,29700.0,labour_wages\SATTI_APTS_Labour_Jun2017.xlsx,labour_wages,SATTI_APTS,0,29700
10,Javed Sheikh,Welder,21,1100.0,,,23100.0,labour_wages\SATTI_APTS_Labour_Jun2017.xlsx,labour_wages,SATTI_APTS,11550,11550
11,Usman Butt,Plumber,23,1100.0,,,25300.0,labour_wages\SATTI_APTS_Labour_Jun2017.xlsx,labour_wages,SATTI_APTS,"PKR 12,650","12,650/-"
,,,,,,,,labour_wages\SATTI_APTS_Labour_Jun2017.xlsx,labour_wages,SATTI_APTS,,
Prepared by:,,,Checked by:,,,,,labour_wages\SATTI_APTS_Labour_Jun2017.xlsx,labour_wages,SATTI_APTS,Approved:,
Month: June 2018,,,,,,,,labour_wages\SATTI_APTS_Labour_Jun2018.xlsx,labour_wages,SATTI_APTS,,
1,Usman Khan,Supervisor,25,1800.0,45000.0,22500.0,22500.0,labour_wages\SATTI_APTS_Labour_Jun2018.xlsx,labour_wages,SATTI_APTS,,
2,Arif Ali,Supervisor,27,1800.0,48600.0,14580.0,34020.0,labour_wages\SATTI_APTS_Labour_Jun2018.xlsx,labour_wages,SATTI_APTS,,
3,Rizwan Malik,Carpenter,28,1000.0,28000.0,0.0,28000.0,labour_wages\SATTI_APTS_Labour_Jun2018.xlsx,labour_wages,SATTI_APTS,,
4,Bilal Raza,Plumber,20,1100.0,22000.0,0.0,22000.0,labour_wages\SATTI_APTS_Labour_Jun2018.xlsx,labour_wages,SATTI_APTS,,
5,Usman Khan,Site Engineer,27,2500.0,67500.0,0.0,67500.0,labour_wages\SATTI_APTS_Labour_Jun2018.xlsx,labour_wages,SATTI_APTS,,
6,Farooq Ali,Plumber,28,1100.0,30800.0,9240.0,21560.0,labour_wages\SATTI_APTS_Labour_Jun2018.xlsx,labour_wages,SATTI_APTS,,
7,Arif Chaudhry,Supervisor,14,1800.0,25200.0,0.0,25200.0,labour_wages\SATTI_APTS_Labour_Jun2018.xlsx,labour_wages,SATTI_APTS,,
8,Zahid Qureshi,Plumber,25,1100.0,27500.0,0.0,27500.0,labour_wages\SATTI_APTS_Labour_Jun2018.xlsx,labour_wages,SATTI_APTS,,
9,Muhammad Butt,Helper,27,600.0,16200.0,0.0,16200.0,labour_wages\SATTI_APTS_Labour_Jun2018.xlsx,labour_wages,SATTI_APTS,,
10,Farooq Raza,Painter,15,850.0,12750.0,6375.0,6375.0,labour_wages\SATTI_APTS_Labour_Jun2018.xlsx,labour_wages,SATTI_APTS,,
11,Muhammad Sheikh,Helper,19,,11400.0,0.0,11400.0,labour_wages\SATTI_APTS_Labour_Jun2018.xlsx,labour_wages,SATTI_APTS,,
12,Farooq Ali,Helper,16,600.0,9600.0,,9600.0,labour_wages\SATTI_APTS_Labour_Jun2018.xlsx,labour_wages,SATTI_APTS,,
13,Kamran Khan,Painter,27,850.0,22950.0,6885.0,16065.0,labour_wages\SATTI_APTS_Labour_Jun2018.xlsx,labour_wages,SATTI_APTS,,
14,Hamid Raza,Security Guard,25,700.0,17500.0,0.0,17500.0,labour_wages\SATTI_APTS_Labour_Jun2018.xlsx,labour_wages,SATTI_APTS,,
,,,,,,,,labour_wages\SATTI_APTS_Labour_Jun2018.xlsx,labour_wages,SATTI_APTS,,
Prepared by:,,,Checked by:,,,,,labour_wages\SATTI_APTS_Labour_Jun2018.xlsx,labour_wages,SATTI_APTS,,
Month: March 2015,,,,,,,,labour_wages\SATTI_APTS_Labour_Mar2015.xlsx,labour_wages,SATTI_APTS,,
1,Arif Sheikh,Helper,16,600.0,9600.0,4800.0,4800.0,labour_wages\SATTI_APTS_Labour_Mar2015.xlsx,labour_wages,SATTI_APTS,,
,,,,,,,,labour_wages\SATTI_APTS_Labour_Mar2015.xlsx,labour_wages,SATTI_APTS,,
2,Hamid Malik,Mason,PKR 23,900.0,20700.0,6210.0,14490.0,labour_wages\SATTI_APTS_Labour_Mar2015.xlsx,labour_wages,SATTI_APTS,,
3,Kamran Mirza,Supervisor,24,1800.0,43200.0,0.0,43200.0,labour_wages\SATTI_APTS_Labour_Mar2015.xlsx,labour_wages,SATTI_APTS,,
4,Farooq Butt,Plumber,18,1100.0,19800.0,0.0,19800.0,labour_wages\SATTI_APTS_Labour_Mar2015.xlsx,labour_wages,SATTI_APTS,,
5,Muhammad Sheikh,Painter,28,850.0,,0.0,23800.0,labour_wages\SATTI_APTS_Labour_Mar2015.xlsx,labour_wages,SATTI_APTS,,
6,Farooq Sheikh,Mason,16,900.0,14400.0,4320.0,10080.0,labour_wages\SATTI_APTS_Labour_Mar2015.xlsx,labour_wages,SATTI_APTS,,
7,Ahmad Raza,Supervisor,20,1800.0,36000.0,0.0,,labour_wages\SATTI_APTS_Labour_Mar2015.xlsx,labour_wages,SATTI_APTS,,
8,Javed Mirza,Helper,16,600.0,9600.0,0.0,9600.0,labour_wages\SATTI_APTS_Labour_Mar2015.xlsx,labour_wages,SATTI_APTS,,
9,Muhammad Mirza,Painter,21,850.0,17850.0,0.0,17850.0,labour_wages\SATTI_APTS_Labour_Mar2015.xlsx,labour_wages,SATTI_APTS,,
10,Muhammad Sheikh,Painter,18,850.0,15300.0,0.0,15300.0,labour_wages\SATTI_APTS_Labour_Mar2015.xlsx,labour_wages,SATTI_APTS,,
11,Usman Raza,Mason,PKR 18,900.0,,0.0,16200.0,labour_wages\SATTI_APTS_Labour_Mar2015.xlsx,labour_wages,SATTI_APTS,,
12,Rizwan Khan,Mason,23,900.0,20700.0,0.0,,labour_wages\SATTI_APTS_Labour_Mar2015.xlsx,labour_wages,SATTI_APTS,,
,,,,,,,,labour_wages\SATTI_APTS_Labour_Mar2015.xlsx,labour_wages,SATTI_APTS,,
Prepared by:,,,Checked by:,,,,,labour_wages\SATTI_APTS_Labour_Mar2015.xlsx,labour_wages,SATTI_APTS,,
Month: March 2016,,,,,,,,labour_wages\SATTI_APTS_Labour_Mar2016.xlsx,labour_wages,SATTI_APTS,,
